ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
FIGR,33.81,33.91,-0.0029,0.8602,5700520,4,0.9,2.3985,0.0707,69.0,yf_premarket,0.08637760327756913,0.9,0.09296718017414601,0.8,1.5,neutral,0.0,4.276,,,new,12:47:25,2026-07-06 12:47:25
BETA,18.15,18.11,0.0022,0.9808,1630730,4,0.8823,0.9746,0.0538,58.9,yf_premarket,0.09848773924045548,0.8823,0.07032819825853985,0.8,1.5,neutral,0.014775016789791807,4.2697,4.2666,0.003,steady,12:47:25,2026-07-06 12:47:25
CPB,23.2496,23.32,-0.003,0.5441,14403950,4,0.9239,0.7142,0.0306,56.7,yf_premarket,0.05463619384250798,0.9239,0.039249832551908906,0.8,1.5,neutral,0.0,4.2494,4.26,-0.011,steady,12:47:25,2026-07-06 12:47:25
FIVN,23.19,23.44,-0.0107,0.9401,2851100,4,0.8885,1.0799,0.0461,67.2,yf_premarket,0.09440081939228405,0.8885,0.060013395847287335,0.8,1.5,neutral,0.0,4.2486,,,new,12:47:25,2026-07-06 12:47:25
EYE,19.86,19.76,0.0051,0.7594,2211770,3,0.9776,0.8205,0.0415,61.3,yf_premarket,0.07625569859217159,0.9776,0.05385130609511051,0.6,1.5,neutral,0.03425117528542646,4.2479,,,new,12:47:25,2026-07-06 12:47:25
BRKR,61.7,61.64,0.001,1.516,2405520,4,0.8412,2.4397,0.0396,67.4,yf_premarket,0.15223023316530435,0.8412,0.05130609511051574,0.8,1.5,neutral,0.006715916722632639,4.2465,4.3567,-0.11,steady,12:47:25,2026-07-06 12:47:25
EPRT,31.34,31.18,0.0051,0.5396,2880220,3,1.0,0.5879,0.0189,60.7,yf_premarket,0.05418432309762416,1.0,0.023576691225720026,0.6,1.5,neutral,0.03425117528542646,4.2444,,,new,12:47:25,2026-07-06 12:47:25
ACVA,7.27,7.3,-0.0041,0.6993,3397950,4,0.9044,0.3152,0.0432,67.9,yf_premarket,0.07022071375494547,0.9044,0.05612860013395847,0.8,1.5,neutral,0.0,4.2422,4.2574,-0.015,steady,12:47:25,2026-07-06 12:47:25
BNL,21.12,21.25,-0.0061,1.1052,2557350,3,0.9826,0.3601,0.0169,60.9,yf_premarket,0.11097945494346594,0.9826,0.02089752176825184,0.6,1.5,neutral,0.0,4.2421,4.2478,-0.006,steady,12:47:25,2026-07-06 12:47:25
BCYC,4.35,4.35,0.0,0.712,496800,4,0.9053,0.159,0.0366,64.4,yf_premarket,0.07149599341272869,0.9053,0.047287340924313456,0.8,1.5,neutral,0.0,4.2415,4.2543,-0.013,steady,12:47:25,2026-07-06 12:47:25
CBZ,34.38,35.12,-0.0211,0.459,1095460,4,0.9168,1.95,0.0555,53.5,yf_premarket,0.04609081597814954,0.9168,0.0726054922973878,0.8,1.5,neutral,0.0,4.239,4.2587,-0.02,steady,12:47:25,2026-07-06 12:47:25
GFL,40.076,37.48,0.0693,0.7915,4336400,2,0.7464,1.1381,0.0304,63.3,yf_premarket,0.07947904323900949,0.7464,0.038981915606162085,0.4,1.5,neutral,0.4654130288784419,4.2296,,,new,12:47:25,2026-07-06 12:47:25
BBNX,16.7,16.76,-0.0036,0.5662,1071840,4,0.899,1.089,0.065,62.7,yf_premarket,0.05685538127849296,0.899,0.0853315472203617,0.8,1.5,neutral,0.0,4.2259,4.2491,-0.023,steady,12:47:25,2026-07-06 12:47:25
CCAP,11.12,11.12,0.0,0.7258,275020,5,0.8004,0.2211,0.0199,59.0,yf_premarket,0.07288173036370574,0.8004,0.02491627595445412,1.0,1.5,neutral,0.0,4.2226,4.2293,-0.007,steady,12:47:25,2026-07-06 12:47:25
AOUT,13.3,13.37,-0.0052,0.4505,293680,4,0.8996,1.0825,0.081,67.8,yf_premarket,0.045237282348924546,0.8996,0.10676490288010716,0.8,1.5,neutral,0.0,4.2204,4.2494,-0.029,steady,12:47:25,2026-07-06 12:47:25
GSK,53.98,53.66,0.006,1.011,3761250,3,0.9472,1.052,0.0196,53.8,yf_premarket,0.10152029401723132,0.9472,0.02451440053583389,0.6,1.5,neutral,0.040295500335795834,4.2194,,,new,12:47:25,2026-07-06 12:47:25
FTV,62.65,62.65,-0.0,1.121,2992600,3,0.9669,1.2084,0.0193,65.7,yf_premarket,0.11256602333661357,0.9669,0.024112525117213665,0.6,1.5,neutral,-0.0,4.2147,,,new,12:47:25,2026-07-06 12:47:25
BAX,22.6901,22.65,0.0018,0.9396,6967610,3,0.9671,0.634,0.028,65.4,yf_premarket,0.0943506115317414,0.9671,0.035766912257200266,0.6,1.5,neutral,0.01208865010073875,4.2117,4.2345,-0.023,steady,12:47:25,2026-07-06 12:47:25
