ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,rsi_factor,macd_factor,score,rsi_label,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
AHCO,9.63,,,0.6775808059228472,0.0,1300563,3,,0.32833311292860246,,,,yf_premarket,,0.06725306105664128,0.06725306105664128,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AHR,46.57,,,1.102783324904904,0.0,2552472,2,,1.649444580078125,,,,yf_premarket,,0.10991262395158143,0.10991262395158143,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIB,1.65,,,0.8329508539981664,0.0,2047387,1,,0.5599999825159708,,,,yf_premarket,,0.08284097044562269,0.08284097044562269,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIG,73.88,,,1.1635890658395616,0.0,3899931,2,,1.6199993557400174,,,,yf_premarket,,0.11601312010100552,0.11601312010100552,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIM,0.3873,,,0.09447065623778411,0.0,112060775,0,,0.24222222798400456,,,,yf_premarket,,0.008750999110442827,0.008750999110442827,,,0.0,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIN,69.52,,,0.8477323131535558,0.0,266436,2,,2.164612216805492,,,,yf_premarket,,0.08432395927651655,0.08432395927651655,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIP,31.9,,,0.7156961062279855,0.0,1008939,1,,2.286666022406684,,,,yf_premarket,,0.07107707897290201,0.07107707897290201,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIR,118.25,,,0.7063805335902842,0.0,345279,3,,3.831109788682726,,,,yf_premarket,,0.07014246960654222,0.07014246960654222,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIRO,8.5079,,,0.7895536368894469,0.0,926534,2,,0.8074446254306369,,,,yf_premarket,,0.0784870303110561,0.0784870303110561,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIRS,5.03,,,1.9511017831448432,0.0,784355,1,,0.41922230190700954,,,,yf_premarket,,0.1950224081336278,0.1950224081336278,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIT,320.5,,,0.9098040028238512,0.0,202701,3,,5.742218017578125,,,,yf_premarket,,0.09055146506793195,0.09055146506793195,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIV,2.9,,,1.4475565016271716,0.0,1568826,1,,0.05818799231720852,,,,yf_premarket,,0.14450290119660533,0.14450290119660533,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AIZ,253.0,,,0.648274356178152,0.0,479954,2,,4.881474090669065,,,,yf_premarket,,0.0643128142794015,0.0643128142794015,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AJG,217.07,,,0.9457035618888902,0.0,1601880,2,,5.445104210223089,,,,yf_premarket,,0.09415318290700306,0.09415318290700306,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AKAM,133.667,,,0.9401526746011484,0.0,4324609,1,,8.084447224934896,,,,yf_premarket,,0.09359627551628241,0.09359627551628241,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AKBA,0.92,,,0.6443993164529399,0.0,3168765,2,,0.057111124197642006,,,,yf_premarket,,0.06392404071034122,0.06392404071034122,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AKR,21.97,,,0.947765984243986,0.0,966678,2,,0.3666665818956163,,,,yf_premarket,,0.09436010086314257,0.09436010086314257,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AKTX,15.0,,,0.04850969481740319,0.0,337004,3,,4.662778006659614,,,,yf_premarket,,0.0041398445737327655,0.0041398445737327655,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALAB,326.52,,,1.2819313278887166,0.0,5655151,2,,27.137227376302082,,,,yf_premarket,,0.1278861193087747,0.1278861193087747,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALB,148.81,,,0.9518302893286219,0.0,2134310,0,,6.9233347574869795,,,,yf_premarket,,0.09476786297799863,0.09476786297799863,,,0.0,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALC,67.01,,,0.6470306166503801,0.0,2092939,2,,1.054443359375,,,,yf_premarket,,0.06418803283469857,0.06418803283469857,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALDX,1.73,,,0.8486733690167474,0.0,1127246,2,,0.15022220876481798,,,,yf_premarket,,0.08441837318516314,0.08441837318516314,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALEC,1.63,,,0.5007768825348508,0.0,862807,2,,0.15111112594604492,,,,yf_premarket,,0.04951474166027689,0.04951474166027689,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALF,11.0,,,0.00815155887512024,0.0,226214,2,,0.016999986436631944,,,,yf_premarket,,9.080826351980399e-05,9.080826351980399e-05,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALGM,44.8585,,,0.7816676620229568,0.0,2315418,3,,3.6283336215549045,,,,yf_premarket,,0.077695849107308,0.077695849107308,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALGN,177.0,,,0.9059771480908172,0.0,1056892,2,,6.492221408420139,,,,yf_premarket,,0.09016752578515325,0.09016752578515325,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ALGT,86.69,,,1.1790820648383618,0.0,543866,1,,3.5844429863823786,,,,yf_premarket,,0.11756749604121121,0.11756749604121121,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
